#name	chrom	strand	txStart	txEnd
NR_026823	chr12	+	67606	69079
NR_130745	chr12	+	73724	91263
NM_001170738	chr12	+	176048	287625
NM_015232	chr12	+	186541	280494
NR_033859	chr12	-	246576	258332
NM_001122847	chr12	-	299242	322863
NM_003044	chr12	-	299242	322613
NM_001206931	chr12	-	299242	323371
NM_001122848	chr12	-	299242	323371
NR_120475	chr12	+	312810	314259
NM_001190997	chr12	-	329786	372039
NM_016615	chr12	-	329786	372039
NR_120482	chr12	-	362607	366465
NM_001243392	chr12	-	368154	372039
NM_001042603	chr12	-	389222	498621
NM_001130147	chr12	+	498515	551806
NM_001130148	chr12	+	498515	551806
NM_001130146	chr12	+	510740	551806
NM_032358	chr12	+	510740	551806
NM_173593	chr12	+	569542	671058
NM_016533	chr12	-	673461	772907
NM_001294346	chr12	-	673461	752851
NM_001294345	chr12	-	673461	719579
NR_134624	chr12	-	694864	695652
NR_122124	chr12	+	740056	755044
NM_018979	chr12	+	862088	1020618
NM_001184985	chr12	+	862088	1020618
NM_213655	chr12	+	862088	1020618
NM_014823	chr12	+	862088	1020618
NM_001297421	chr12	-	1020901	1058888
NM_001297419	chr12	-	1020901	1099207
NM_134424	chr12	-	1020901	1058888
NR_123713	chr12	-	1020901	1058888
NM_001297422	chr12	-	1025371	1058888
NM_001297420	chr12	-	1034615	1042242
NR_027949	chr12	+	1100373	1605099
NR_027948	chr12	+	1100373	1605099
NR_027946	chr12	+	1100373	1605099
NM_178040	chr12	+	1100373	1605099
NM_178039	chr12	+	1100373	1605099
NM_001301248	chr12	+	1136913	1605099
NR_028415	chr12	+	1609656	1613590
NM_152441	chr12	-	1675158	1703331
NM_030775	chr12	+	1726221	1756377
NM_032642	chr12	+	1738411	1756378
NR_037422	chr12	-	1769480	1769546
NM_024551	chr12	+	1800246	1897845
NM_172364	chr12	-	1901122	2027870
NM_001163925	chr12	+	1929432	1945918
NM_001163926	chr12	+	1929432	1945918
NM_001039029	chr12	+	1929432	1945918
NR_036546	chr12	-	2038367	2045742
NR_135060	chr12	-	2050756	2113701
NM_152640	chr12	-	2055213	2113701
NM_001319292	chr12	-	2100621	2113701
NR_046768	chr12	+	2157517	2158628
NM_001129827	chr12	+	2162415	2807115
NM_001129838	chr12	+	2162415	2807115
NM_001129839	chr12	+	2162415	2807115
NM_001129831	chr12	+	2162415	2807115
NM_000719	chr12	+	2162415	2807115
NM_001129832	chr12	+	2162415	2807115
NM_001129841	chr12	+	2162415	2807115
NM_001167625	chr12	+	2162415	2807115
NM_001129837	chr12	+	2162415	2807115
NM_001129835	chr12	+	2162415	2807115
NM_001129840	chr12	+	2162415	2807115
NM_001129842	chr12	+	2162415	2807115
NM_001129829	chr12	+	2162415	2807115
NM_001129836	chr12	+	2162415	2807115
NM_001129844	chr12	+	2162415	2807115
NM_001129833	chr12	+	2162415	2807115
NM_001129834	chr12	+	2162415	2807115
NM_001129846	chr12	+	2162415	2807115
